url,price,title
https://www.olx.com.pk/item/external-dvd-drive-IDWbnC1.html,"Rs 1,000",External Dvd Drive
https://www.olx.com.pk/item/retail-pos-software-hardware-best-price-IDWcchR.html,"Rs 15,000",Retail POS Software Hardware Best Price
https://www.olx.com.pk/item/unlock-wingle-mifi-cloud-bolt-koi-b-sim-chalain-data-voice-mbb-IDWg9ap.html,"Rs 2,380",UNLOCK Wingle -mifi CLOUD Bolt + KOI B SIM Chalain Data / Voice/Mbb
https://www.olx.com.pk/item/hp-laptop-2nd-genration-IDWg9ar.html,"Rs 23,500",Hp laptop 2nd genration
https://www.olx.com.pk/item/lunar-bt-nova-earphone-IDWg9b2.html,"Rs 1,500",Lunar BT Nova Earphone
https://www.olx.com.pk/item/hp-folio-9470m-utra-book-haroon-traders-4gb-500gb-free-bag-offer-IDWg9bh.html,"Rs 25,500",Hp Folio 9470m Utra Book. HAROON TRADERS. 4Gb / 500Gb. Free bag Offer.
https://www.olx.com.pk/item/hp-probook-display-15-6-numpad-keyboard-core-i5-2nd-generation-IDUVeSu.html,"Rs 21,500","HP ProBook Display 15.6"" + Numpad Keyboard Core i5 2nd Generation"
https://www.olx.com.pk/item/mazak-cnc-dual-turning-centre-IDUJ1EY.html,"Rs 2,500",Mazak cnc dual turning centre
https://www.olx.com.pk/item/pocket-wifi-IDWg9bd.html,"Rs 3,000",Pocket wifi
https://www.olx.com.pk/item/dell-inspiron-10-mini-notebook-glossy-black-IDWcdhz.html,"Rs 8,800",Dell Inspiron 10 Mini Notebook Glossy Black
https://www.olx.com.pk/item/hp-g3450-probook-for-salee-IDUZA5s.html,"Rs 55,000",Hp g3450 probook for salee
https://www.olx.com.pk/item/hp-probook-6470b-core-i5-haroon-traders-brown-chocolaty-color-IDWg9bU.html,"Rs 19,500",Hp Probook 6470b core i5. HAROON TRADERS. Brown Chocolaty Color.
https://www.olx.com.pk/item/hp-elitebook-8570p-core-i5-3rd-generation-all-pieces-are-in-a-grade-IDW5474.html,"Rs 25,999",HP Elitebook 8570p Core i5 3rd Generation All Pieces are in A+ Grade
https://www.olx.com.pk/item/laptop-bag-15-6-inch-sihaw-IDWcZfV.html,"Rs 1,550",Laptop bag 15.6 inch sihaw
https://www.olx.com.pk/item/samsung-np-n12-laptop-selling-as-spare-parts-IDUBmOq.html,"Rs 9,000",Samsung NP N12 laptop selling as spare parts
https://www.olx.com.pk/item/avr-minimum-system-development-board-IDWg98c.html,Rs 470,AVR Minimum System Development Board
https://www.olx.com.pk/item/dell-e5430-3rd-generation-of-i5-haroon-traders-hurry-up-IDWg98e.html,"Rs 19,500",Dell E5430. 3rd Generation Of i5. HAROON TRADERS. HurRy Up...
https://www.olx.com.pk/item/v380-smart-wifi-720p-ip-camera-high-quality-IDWc6eb.html,"Rs 3,950",V380 Smart WiFi 720P IP Camera High Quality
https://www.olx.com.pk/item/wireless-key-boards-with-cordless-mouse-for-sony-smart-tv-and-computer-IDJZ0HA.html,"Rs 1,250",Wireless key boards with cordless Mouse for Sony smart TV and computer
https://www.olx.com.pk/item/datalogic-barcode-scanner-distributor-in-pakistan-IDWg98n.html,"Rs 5,999",Datalogic Barcode Scanner Distributor in Pakistan
https://www.olx.com.pk/item/pin-pack-laptop-dell-core-i7-IDWfxW1.html,"Rs 55,000",Pin pack laptop dell core i7
https://www.olx.com.pk/item/biometric-u-face-800-detection-machineramzan-offer-IDWfMRL.html,"Rs 32,000",Biometric u face 800 detection machine(ramzan offer)
https://www.olx.com.pk/item/dell-insp-5567-like-brand-new-IDWfMMX.html,"Rs 60,000",dell insp 5567 like brand new
